wine_type,feature,Random Forest,Decision Tree,AdaBoost,Logistic Regression
red,alcohol,0.14445352817303703,0.18627052296229402,0.3033036420653814,0.19396005055107185
red,chlorides,0.07845786756349775,0.09532953777680342,0.0859342597640777,0.06417688766394404
red,citric acid,0.07484321867854613,0.06557395203255661,0.035505004066187215,0.05307937363143057
red,density,0.0942399777578943,0.05462859335768656,0.03974338109581995,0.10411386114428962
red,fixed acidity,0.0767833138085055,0.05253613643383226,0.06784593928452426,0.09871747801552129
red,free sulfur dioxide,0.0695690603699583,0.039411343436825765,0.030798612788644937,0.037981309211496096
red,pH,0.07041371570830872,0.05869856530867753,0.03456698823293593,0.028060050619518717
red,residual sugar,0.07015759836621405,0.08621983307821317,0.08602642728594771,0.06286042523290772
red,sulphates,0.11568728258242295,0.13170793154371618,0.1008411048824584,0.10922024404049382
red,total sulfur dioxide,0.10064278058413503,0.1198222673124572,0.14088900160002574,0.11572808923331301
red,volatile acidity,0.10475165640748024,0.10980131675693738,0.07454563893399674,0.1321022306560132
white,alcohol,0.1303153454554977,0.16979432851911277,0.26032723061370067,0.14038908134096986
white,chlorides,0.08335766805258568,0.0678177422806285,0.03709042475876892,0.02711762411956947
white,citric acid,0.07779402003271398,0.07192293515403818,0.08160359323102848,0.01595222673866919
white,density,0.10787522519030467,0.09134199067520597,0.11117971215956746,0.2706217422279333
white,fixed acidity,0.07252315876439898,0.05515285986926571,0.006716083372789338,0.05533347961848729
white,free sulfur dioxide,0.09273771173131161,0.08629644648951178,0.09576540823867681,0.02317878062307905
white,pH,0.08349747606127002,0.09326043326563449,0.03920168878312083,0.06567449072659917
white,residual sugar,0.08669412316744836,0.08130524656100639,0.13003358131667292,0.21985505562835592
white,sulphates,0.0725181701699536,0.07405288808909644,0.012041146841502053,0.035386863613853854
white,total sulfur dioxide,0.09001810613733051,0.099634060394935,0.08627417936234909,0.009303149228371268
white,volatile acidity,0.10266899523718503,0.10942106870156496,0.13976695132182332,0.13718750613411168
